Date,Open,High,Low,Close,Adj Close,Volume
2018-03-14,215.419998,216.649994,212.860001,213.460007,210.469498,1252500
2018-03-15,212.520004,215.190002,212.160004,212.449997,209.473618,1401100
2018-03-16,212.610001,213.389999,210.259995,210.440002,207.491791,2564100
2018-03-19,210.779999,212.550003,209.110001,211.720001,208.753876,1819300
2018-03-20,212.889999,215.550003,211.910004,214.720001,211.711853,1523200
2018-03-21,214.779999,215.369995,212.839996,212.960007,209.976486,1029200
2018-03-22,211.000000,212.399994,206.520004,207.330002,204.425385,1665000
2018-03-23,207.789993,208.330002,204.270004,204.649994,201.782928,1703900
2018-03-26,207.570007,210.149994,204.960007,209.679993,206.742462,1058600
2018-03-27,210.360001,210.919998,205.229996,206.619995,203.725327,1359200
2018-03-28,207.490005,208.429993,205.320007,205.919998,203.035126,1402000
2018-03-29,207.009995,208.440002,204.520004,206.460007,203.567535,1787700
2018-04-02,205.720001,206.779999,199.850006,203.139999,200.294098,1619700
2018-04-03,204.699997,207.509995,203.020004,206.679993,203.784454,1316300
2018-04-04,203.580002,209.820007,202.389999,209.320007,206.387527,1318500
2018-04-05,210.119995,212.610001,209.490005,211.860001,208.891922,1159700
2018-04-06,209.490005,211.119995,203.759995,205.559998,202.680161,1649700
2018-04-09,207.250000,212.410004,207.250000,209.550003,206.614227,1399100
2018-04-10,212.350006,216.330002,211.839996,215.190002,212.175232,2050200
2018-04-11,213.369995,213.929993,211.690002,212.789993,209.808899,1067200
2018-04-12,214.089996,214.839996,213.240005,213.330002,210.341309,748700
2018-04-13,214.669998,215.320007,212.860001,214.350006,211.347046,676400
2018-04-16,215.710007,217.520004,212.639999,215.910004,212.885178,817200
2018-04-17,217.240005,219.089996,216.100006,218.229996,215.172668,1611600
2018-04-18,219.080002,221.029999,218.410004,219.529999,216.454468,1564400
2018-04-19,220.240005,221.880005,215.479996,216.990005,213.950073,1610100
2018-04-20,217.860001,218.449997,215.600006,215.889999,212.865433,1377900
2018-04-23,216.830002,218.050003,215.800003,216.350006,213.319031,1244700
2018-04-24,214.440002,216.300003,210.490005,213.169998,210.183548,2051100
2018-04-25,217.850006,218.000000,207.990005,214.470001,211.465363,2246500
2018-04-26,214.699997,215.899994,212.039993,213.839996,210.844162,1475200
2018-04-27,213.669998,214.470001,212.199997,212.839996,209.858185,1668300
2018-04-30,213.089996,213.839996,210.339996,210.350006,207.403046,1375400
2018-05-01,210.440002,212.289993,208.389999,210.720001,207.767899,1100600
2018-05-02,210.000000,211.350006,208.020004,208.839996,205.914215,1514700
2018-05-03,208.160004,208.610001,204.860001,208.320007,205.401489,2291700
2018-05-04,208.130005,210.639999,205.220001,210.070007,207.127029,996700
2018-05-07,210.330002,211.990005,208.160004,208.979996,206.052216,1204600
2018-05-08,208.270004,209.020004,206.589996,208.070007,205.155029,1105900
2018-05-09,208.660004,209.529999,207.330002,208.690002,205.766342,1237100
2018-05-10,210.000000,214.130005,209.089996,213.820007,210.824478,1272700
2018-05-11,214.270004,216.690002,213.360001,216.550003,213.516190,1209800
2018-05-14,216.600006,219.410004,215.800003,217.410004,214.364166,1447300
2018-05-15,213.259995,214.649994,208.919998,209.080002,206.150879,1731400
2018-05-16,209.500000,212.149994,209.100006,210.669998,207.718597,1813500
